Genes	Left-End-Position	Right-End-Position	Direction	Product
alsC	4308489	4309469	-	D-allose ABC transporter membrane subunit
alsE	4307783	4308478	-	D-allulose-6-phosphate 3-epimerase
alsK	4306870	4307799	-	D-allose kinase
alsR	4312101	4312991	-	DNA-binding transcriptional repressor AlsR
alx	3238580	3239545	+	putative membrane-bound redox modulator Alx
amiA	2552352	2553221	+	<i>N</i>-acetylmuramoyl-L-alanine amidase A
amiB	4396065	4397402	+	<i>N</i>-acetylmuramoyl-L-alanine amidase B
amiC	2947757	2949010	-	<i>N</i>-acetylmuramoyl-L-alanine amidase C
amiD	904913	905743	+	<i>N</i>-acetylmuramoyl-L-alanine amidase D
amn	2055061	2056515	+	AMP nucleosidase
ampC	4377811	4378944	-	&beta;-lactamase
ampD	118733	119284	+	1,6-anhydro-<i>N</i>-acetylmuramoyl-L-alanine amidase
ampE	119281	120135	+	protein AmpE
ampG	452070	453545	-	muropeptide:H<sup>+</sup> symporter
ampH	395130	396287	-	peptidoglycan DD-carboxypeptidase/peptidoglycan DD-endopeptidase
amtB	472966	474252	+	ammonia/ammonium transporter
amyA	2006156	2007643	+	alpha-amylase
anmK	1718493	1719602	-	anhydro-<i>N</i>-acetylmuramic acid kinase
ansA	1850860	1851876	+	L-asparaginase 1
ansB	3099682	3100728	-	L-asparaginase 2
ansP	1524481	1525980	-	L-asparagine transporter
apaG	51229	51606	-	DUF525 domain-containing protein ApaG
apaH	50380	51222	-	diadenosine tetraphosphatase
aphA	4269414	4270127	+	acid phosphatase / phosphotransferase
appA	1040617	1041915	+	periplasmic phosphoanhydride phosphatase/multiple inositol-polyphosphate phosphatase
appB	1039296	1040432	+	cytochrome <i>bd</i>-II ubiquinol oxidase subunit II
appC	1037740	1039284	+	cytochrome <i>bd</i>-II ubiquinol oxidase subunit I
appX	1040445	1040537	+	small protein AppX
appY	583681	584430	+	DLP12 prophage; DNA-binding transcriptional activator AppY
apt	491412	491963	+	adenine phosphoribosyltransferase
aqpZ	915352	916047	-	water channel AqpZ
araA	66835	68337	-	L-arabinose isomerase
araB	68348	70048	-	ribulokinase
araC	70387	71265	+	DNA-binding transcriptional dual regulator AraC
araD	65855	66550	-	L-ribulose-5-phosphate 4-epimerase AraD
araE	2980764	2982182	-	arabinose:H<sup>+</sup> symporter
araF	1985139	1986128	-	arabinose ABC transporter periplasmic binding protein
araG	1983555	1985069	-	arabinose ABC transporter ATP binding subunit
araH	1982554	1983540	-	arabinose ABC transporter membrane subunit
araJ	411297	412481	-	putative transport protein AraJ
arcA	4639590	4640306	-	ArcA-P<sup>asp54</sup>-phosphate // Phosphorylated DNA-binding transcriptional dual regulator ArcA // DNA-binding transcriptional dual regulator ArcA
arcB	3350689	3353025	-	ArcB-<i>N</i>-phospho-L-histidine-292 // ArcB-phospho-L-aspartate-576 // ArcB-<i>N</i>-phospho-L-histidine-717 // sensor histidine kinase ArcB
arcZ	3350577	3350697	+	small regulatory RNA ArcZ
arfA	3438431	3438649	-	alternative ribosome-rescue factor A
arfB	214833	215255	+	peptidyl-tRNA hydrolase, ribosome rescue factor
argA	2949242	2950573	+	N-acetylglutamate synthase
argB	4156013	4156789	+	acetylglutamate kinase
argC	4155001	4156005	+	N-acetylglutamylphosphate reductase
argD	3488960	3490180	-	<i>N</i>-acetylornithine aminotransferase / <i>N</i>-succinyldiaminopimelate aminotransferase
argE	4153696	4154847	-	acetylornithine deacetylase
argF	289301	290305	-	CP4-6 prophage; ornithine carbamoyltransferase ArgF
argG	3318637	3319980	+	argininosuccinate synthetase
argH	4156850	4158223	+	argininosuccinate lyase
argI	4477307	4478311	-	ornithine carbamoyltransferase ArgI
argK	3062987	3063982	+	methylmalonyl-CoA mutase-interacting GTPase YgfD
argL	290275	290370	-	putative translational regulatory protein ArgL
argO	3068173	3068808	-	L-arginine exporter
argP	3059753	3060646	+	DNA-binding transcriptional dual regulator ArgP
argQ	2817784	2817860	-	tRNA-Arg(ACG)
argR	3384703	3385173	+	DNA-binding transcriptional dual regulator ArgR
argS	1960062	1961795	+	arginine&mdash;tRNA ligase
argT	2427009	2427791	-	lysine/arginine/ornithine ABC transporter periplasmic binding protein
argU	564723	564799	+	tRNA-Arg(UCU)
argV	2818473	2818549	-	tRNA-Arg(ACG)
argW	2466309	2466383	+	tRNA-Arg(CCU)
argX	3982375	3982451	+	tRNA-Arg(CCG)
argY	2818198	2818274	-	tRNA-Arg(ACG)
argZ	2818059	2818135	-	tRNA-Arg(ACG)
ariR	1216369	1216635	+	putative two-component system connector protein AriR
arnA	2368039	2370021	+	fused UDP-4-amino-4-deoxy-L-arabinose formyltransferase/UDP-glucuronate dehydrogenase
arnB	2365910	2367067	+	UDP-4-amino-4-deoxy-L-arabinose aminotransferase
arnC	2367071	2368039	+	undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
arnD	2370018	2370908	+	putative 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD
arnE	2372557	2372892	+	undecaprenyl-phosphate-&alpha;-L-Ara4N flippase - ArnE subunit
arnF	2372892	2373278	+	undecaprenyl-phosphate-&alpha;-L-Ara4N flippase - ArnF subunit
arnT	2370908	2372560	+	lipid IVA 4-amino-4-deoxy-L-arabinosyltransferase
aroA	958812	960095	+	3-phosphoshikimate 1-carboxyvinyltransferase
aroB	3517398	3518486	-	3-dehydroquinate synthase
aroC	2446388	2447473	-	chorismate synthase
aroD	1774686	1775444	+	3-dehydroquinate dehydratase
aroE	3430020	3430838	-	shikimate dehydrogenase
aroF	2740080	2741150	-	3-deoxy-7-phosphoheptulonate synthase, Tyr-sensitive
aroG	785633	786685	+	3-deoxy-7-phosphoheptulonate synthase, Phe-sensitive
aroH	1788435	1789481	+	3-deoxy-7-phosphoheptulonate synthase, Trp-sensitive
aroK	3518543	3519064	-	shikimate kinase 1
aroL	406405	406929	+	shikimate kinase 2
aroM	407428	408105	+	protein AroM
aroP	120178	121551	-	aromatic amino acid:H<sup>+</sup> symporter AroP
arpA	4220301	4222487	-	regulator of acetyl CoA synthetase
arrS	3657985	3658054	-	small regulatory RNA ArrS
arsB	3648935	3650224	+	arsenite/antimonite:H<sup>+</sup> antiporter
arsC	3650237	3650662	+	arsenate reductase
arsR	3648528	3648881	+	DNA-binding transcriptional repressor ArsR
artI	902257	902988	-	putative ABC transporter periplasmic binding protein ArtI
artJ	899844	900575	-	L-arginine ABC transporter periplasmic binding protein
artM	900866	901534	-	L-arginine ABC transporter membrane subunit ArtM
artP	903006	903734	-	L-arginine ABC transporter ATP binding subunit
artQ	901534	902250	-	L-arginine ABC transporter membrane subunit ArtQ
ascB	2840990	2842414	+	6-phospho-&beta;-glucosidase AscB
ascF	2839524	2840981	+	&beta;-glucoside specific PTS enzyme IIBC component
ascG	2838254	2839264	-	DNA-binding transcriptional repressor AscG
asd	3573775	3574878	-	aspartate-semialdehyde dehydrogenase
aslA	3984352	3986007	-	putative sulfatase AslA
aslB	3982958	3984193	+	putative anaerobic sulfatase maturation enzyme AslB
asmA	2139759	2141612	-	putative assembly protein AsmA
asnA	3927155	3928147	+	asparagine synthetase A
asnB	697513	699177	-	asparagine synthetase B
asnC	3926545	3927003	-	DNA-binding transcriptional dual regulator AsnC
asnS	987585	988985	-	asparagine&mdash;tRNA ligase
asnT	2044549	2044624	+	tRNA-Asn(GUU)
asnU	2059851	2059926	+	tRNA-Asn(GUU)
asnV	2062260	2062335	+	tRNA-Asn(GUU)
asnW	2058027	2058102	-	tRNA-Asn(GUU)
aspA	4366891	4368327	-	aspartate ammonia-lyase
aspC	984519	985709	-	aspartate aminotransferase
aspS	1948750	1950522	-	aspartate&mdash;tRNA ligase
aspT	3946872	3946948	+	tRNA-Asp(GUC)
aspU	228928	229004	+	tRNA-Asp(GUC)
aspV	236931	237007	+	tRNA-Asp(GUC)
asr	1671376	1671684	+	acid shock protein
astA	1829731	1830765	-	arginine N-succinyltransferase
astB	1826916	1828259	-	<i>N</i>-succinylarginine dihydrolase
astC	1830762	1831982	-	succinylornithine transaminase
astD	1828256	1829734	-	aldehyde dehydrogenase
astE	1825955	1826923	-	succinylglutamate desuccinylase
atoA	2324109	2324759	+	acetyl-CoA:acetoacetyl-CoA transferase subunit &beta;
atoB	2326109	2327293	+	acetyl-CoA acetyltransferase
atoC	2321866	2323251	+	phosphorylated DNA-binding transcriptional activator AtoC // DNA-binding transcriptional activator/ornithine decarboxylase inhibitor AtoC
atoD	2323447	2324109	+	acetyl-CoA:acetoacetyl-CoA transferase subunit &alpha;
atoE	2324756	2326078	+	short chain fatty acid transporter
atoS	2320043	2321869	+	sensor histidine kinase AtoS
atpA	3918316	3919857	-	ATP synthase F<sub>1</sub> complex subunit &alpha;
atpB	3921236	3922051	-	ATP synthase F<sub>0</sub> complex subunit a
atpC	3915553	3915972	-	ATP synthase F<sub>1</sub> complex subunit &epsilon;
atpD	3915993	3917375	-	ATP synthase F<sub>1</sub> complex subunit &beta;
atpE	3920950	3921189	-	ATP synthase F<sub>0</sub> complex subunit c
atpF	3920418	3920888	-	ATP synthase F<sub>0</sub> complex subunit b
atpG	3917402	3918265	-	ATP synthase F<sub>1</sub> complex subunit &gamma;
atpH	3919870	3920403	-	ATP synthase F<sub>1</sub> complex subunit &delta;
atpI	3922060	3922440	-	ATP synthase accessory factor AtpI
avtA	3739705	3740958	+	valine&mdash;pyruvate aminotransferase
azoR	1482255	1482860	-	FMN dependent NADH:quinone oxidoreductase
azuC	1987873	1987959	-	uncharacterized protein AzuC
bacA	3203310	3204131	-	undecaprenyl pyrophosphate phosphatase
baeR	2164276	2164998	+	Phosphorylated DNA-binding transcriptional activator BaeR // DNA-binding transcriptional activator BaeR
baeS	2162876	2164279	+	BaeS-<i>N</i>-phospho-L-histidine // sensor histidine kinase BaeS
bamA	197928	200360	+	outer membrane protein assembly factor BamA
bamB	2637474	2638652	-	outer membrane protein assembly factor BamB
bamC	2597831	2598865	-	outer membrane protein assembly factor BamC
bamD	2736146	2736883	+	outer membrane protein assembly factor BamD
bamE	2753605	2753946	+	outer membrane protein assembly factor BamE
barA	2915057	2917813	+	BarA-<i>N</i>-phospho-L-histidine-861 // BarA-<i>N</i>-phospho-L-histidine-302 // BarA-phospho-L-aspartate-718 // sensor histidine kinase BarA
basR	4333282	4333950	-	Phosphorylated DNA-binding transcriptional dual regulator BasR // DNA-binding transcriptional dual regulator BasR
basS	4332181	4333272	-	BasS-<i>N</i>-phospho-L-histidine // sensor histidine kinase BasS
bax	3736353	3737177	-	putative glycoside hydrolase Bax
baxL	3737177	3737203	-	putative translational regulatory protein BaxL
bcp	2600478	2600948	+	thiol peroxidase
bcr	2278570	2279760	-	multidrug efflux pump Bcr
bcsA	3692618	3695236	-	cellulose synthase catalytic subunit
bcsB	3690268	3692607	-	cellulose synthase periplasmic subunit
bcsC	3685700	3689173	-	cellulose biosynthesis protein BcsC
bcsE	3696458	3698029	+	c-di-GMP-binding protein BcsE
bcsF	3698026	3698217	+	putative cellulose biosynthesis protein BcsF
bcsG	3698214	3699893	+	cellulose phosphoethanolamine transferase
bcsZ	3689155	3690261	-	endo-1,4-D-glucanase
bdcA	4473340	4474053	-	c-di-GMP-binding biofilm dispersal mediator protein
bdcR	4474124	4474717	+	putative transcriptional regulator BdcR
bdm	1556065	1556280	-	biofilm-dependent modulation protein
beeE	1205731	1206204	+	e14 prophage; protein BeeE
bepA	2616094	2617557	+	&beta;-barrel assembly-enhancing protease
betA	325577	327247	-	choline dehydrogenase
betB	327261	328733	-	betaine aldehyde dehydrogenase
betI	328747	329334	-	DNA-binding transcriptional repressor BetI
betT	329463	331496	+	choline:H+ symporter
bfd	3466797	3466991	-	bacterioferritin-associated ferredoxin
bfr	3466249	3466725	-	bacterioferritin
bglA	3043662	3045101	+	6-phospho-&beta;-glucosidase A
bglB	3902289	3903701	-	6-phospho-&beta;-glucosidase B
bglF	3903720	3905597	-	&beta;-glucoside specific PTS enzyme II / BglG kinase / BglG phosphatase
bglG	3905731	3906567	-	transcriptional antiterminator BglG
bglH	3900604	3902220	-	carbohydrate-specific outer membrane porin, cryptic
bglJ	4604160	4604837	+	DNA-binding transcriptional regulator BglJ
bglX	2219692	2221989	-	&beta;-D-glucoside glucohydrolase, periplasmic
bhsA	1169073	1169330	+	DUF1471 domain-containing multiple stress resistance outer membrane protein BhsA
bioA	807968	809257	-	adenosylmethionine-8-amino-7-oxononanoate aminotransferase
bioB	809344	810384	+	biotin synthase
bioC	811522	812277	+	malonyl-acyl carrier protein methyltransferase
bioD	812270	812947	+	dethiobiotin synthetase
bioF	810381	811535	+	8-amino-7-oxononanoate synthase
bioH	3544074	3544844	-	pimeloyl-acyl carrier protein methyl ester esterase
bioP	4011076	4011975	+	biotin transporter
bipA	4058407	4060230	+	50S ribosomal subunit assembly factor BipA
birA	4173082	4174047	+	DNA-binding transcriptional repressor/biotin-[acetyl-CoA-carboxylase] ligase BirA
bisC	3714061	3716394	-	biotin sulfoxide reductase
blc	4377189	4377722	-	outer membrane lipoprotein Blc
blr	1704551	1704676	+	&beta;-lactam resistance protein
bluF	1214264	1215475	-	blue light- and temperature-regulated antirepressor BluF
bluR	1213328	1214059	-	DNA-binding transcriptional repressor BluR
bolA	454472	454789	+	DNA-binding transcriptional dual regulator BolA
borD	578600	578893	-	DLP12 prophage; prophage lipoprotein BorD
brnQ	419591	420910	+	branched chain amino acid transporter BrnQ
bsmA	4416441	4416770	-	DUF1471 domain-containing putative lipoprotein BsmA
bssR	878248	878631	+	regulator of biofilm formation
bssS	1120701	1120955	-	regulator of biofilm formation
btsR	2212243	2212962	-	Phosphorylated DNA-binding transcriptional dual regulator BtsR // DNA-binding transcriptional dual regulator BtsR
btsS	2212959	2214644	-	BtsS-<i>N</i>-phospho-L-histidine // high-affinity pyruvate receptor
btsT	4589129	4591279	-	pyruvate:H<sup>+</sup> symporter
btuB	4163639	4165483	+	cobalamin outer membrane transporter
btuC	1794172	1795152	-	vitamin B<sub>12</sub> ABC transporter membrane subunit
btuD	1792809	1793558	-	vitamin B<sub>12</sub> ABC transporter ATP binding subunit
btuE	1793558	1794109	-	thioredoxin/glutathione peroxidase
btuF	177662	178462	-	vitamin B<sub>12</sub> ABC transporter periplasmic binding protein
btuR	1327767	1328357	-	cobinamide/cobalamin adenosyltransferase
C0293	1196711	1196782	+	small regulatory RNA C0293
cadA	4356470	4358617	-	lysine decarboxylase 1
cadB	4358697	4360031	-	lysine:cadaverine antiporter
cadC	4360396	4361934	-	DNA-binding transcriptional activator CadC
caiA	39244	40386	-	crotonobetainyl-CoA reductase
caiB	37898	39115	-	&gamma;-butyrobetainyl-CoA:carnitine CoA transferase
caiC	36271	37824	-	carnitine&mdash;CoA ligase
caiD	35377	36162	-	crotonobetainyl-CoA hydratase
caiE	34781	35371	-	putative transferase CaiE
caiF	34300	34695	+	DNA-binding transcriptional activator CaiF
caiT	40417	41931	-	L-carnitine:&gamma;-butyrobetaine antiporter
can	142008	142670	-	carbonic anhydrase 2
carA	29651	30799	+	carbamoyl phosphate synthetase subunit &alpha;
carB	30817	34038	+	carbamoyl phosphate synthetase subunit &beta;
cas1	2878855	2879772	-	multifunctional nuclease Cas1
cas2	2878569	2878853	-	CRISPR-associated endoribonuclease Cas2
cas3	2884553	2887219	-	CRISPR-associated endonuclease/helicase Cas3
casA	2882630	2884138	-	type I-E CRISPR system Cascade subunit CasA
casB	2882155	2882637	-	type I-E CRISPR system Cascade subunit CasB
casC	2881051	2882142	-	type I-E CRISPR system Cascade subunit CasC
casD	2880374	2881048	-	type I-E CRISPR system Cascade subunit CasD
casE	2879788	2880387	-	pre-CRISPR RNA endonuclease
cbeA	2077112	2077480	+	CP4-44 prophage; cytoskeleton bundling-enhancing antitoxin CbeA
cbl	2059964	2060914	-	DNA-binding transcriptional activator Cbl
cbpA	1062855	1063775	-	curved DNA-binding protein
cbpM	1062550	1062855	-	chaperone modulator CbpM
cbrA	3869377	3870441	+	colicin M resistance protein
cbrB	3897506	3897973	+	putative inner membrane protein
cbrC	3898022	3898609	+	UPF0167 family colicin E2 tolerance protein CbrC
cbtA	2077569	2077943	+	CP4-44 prophage; cytoskeleton-binding toxin CbtA
cca	3201891	3203129	+	fused CCA tRNA nucleotidyltransferase/phosphohydrolase
ccmA	2297021	2297644	-	cytochrome <i>c</i> maturation protein A
ccmB	2296362	2297024	-	cytochrome <i>c</i> maturation protein B
ccmC	2295583	2296320	-	cytochrome <i>c</i> maturation protein C
ccmD	2295377	2295586	-	cytochrome <i>c</i> maturation protein D
ccmE	2294901	2295380	-	periplasmic heme chaperone
ccmF	2292961	2294904	-	holocytochrome <I>c</I> synthase CcmF component
ccmG	2292407	2292964	-	thiol:disulfide oxidoreductase CcmG
ccmH	2291358	2292410	-	holocytochrome <I>c</I> synthase CcmH component
ccp	3667791	3669188	-	cytochrome <I>c</i> peroxidase
cdaR	182463	183620	+	DNA-binding transcriptional activator CdaR
cdd	2231844	2232728	+	cytidine/deoxycytidine deaminase
cdgI	1870385	1871860	+	putative c-di-GMP binding protein CdgI
cdh	4109930	4110685	+	CDP-diacylglycerol diphosphatase
cdsA	195677	196534	+	CDP-diglyceride synthetase
cecR	829972	830643	-	DNA-binding transcriptional dual regulator CecR
cedA	1813421	1813663	-	cell division modulator
cfa	1741413	1742561	+	cyclopropane fatty acyl phospholipid synthase
chaA	1270749	1271849	-	Na<sup>+</sup>/K<sup>+</sup>:H<sup>+</sup> antiporter ChaA
chaB	1272119	1272349	+	putative cation transport regulator ChaB
chaC	1272507	1273202	+	glutathione-specific &gamma;-glutamylcyclotransferase
chbA	1819455	1819805	-	<i>N,N'</i>-diacetylchitobiose-specific PTS enzyme IIA component
chbB	1821299	1821619	-	<I>N,N'</I>-diacetylchitobiose-specific PTS enzyme IIB component
chbC	1819856	1821214	-	<i>N,N'</i>-diacetylchitobiose-specific PTS enzyme IIC component
chbF	1817148	1818500	-	monoacetylchitobiose-6-phosphate hydrolase
chbG	1816386	1817135	-	chitin disaccharide deacetylase
chbR	1818605	1819447	-	DNA-binding transcriptional dual regulator ChbR
cheA	1973360	1975324	-	chemotaxis protein CheA // chemotaxis protein CheA(S)
cheB	1967452	1968501	-	CheB-P<SUP>asp</SUP> // protein-glutamate methylesterase/protein glutamine deamidase
cheR	1968504	1969364	-	chemotaxis protein methyltransferase
cheW	1972836	1973339	-	chemotaxis protein CheW
cheY	1967048	1967437	-	CheY-acetylated // CheY-P<sup>asp</sup> // chemotaxis protein CheY
cheZ	1966393	1967037	-	chemotaxis protein CheZ
chiA	3467160	3469853	-	endochitinase
chiP	708334	709740	+	chitobiose outer membrane channel
chiQ	709790	710116	+	lipoprotein ChiQ
chiX	507204	507287	+	small regulatory RNA ChiX
cho	1823515	1824402	+	excinuclease Cho
chpB	4448692	4449042	+	endoribonuclease toxin ChpB
chpS	4448447	4448698	+	ChpS antitoxin of the ChpB-ChpS toxin-antitoxin system
cirA	2244778	2246769	-	iron-catecholate outer membrane transporter CirA
citC	650798	651856	-	citrate lyase synthetase
citD	650487	650783	-	citrate lyase acyl carrier protein
citE	649582	650490	-	citrate lyase &beta; subunit
citF	648039	649571	-	citrate lyase &alpha; subunit
citG	646631	647509	-	triphosphoribosyl-dephospho-CoA synthase
citT	645117	646580	-	citrate:succinate antiporter
citX	647484	648035	-	apo-citrate lyase phosphoribosyl-dephospho-CoA transferase
clcA	175107	176528	+	chloride:H<sup>+</sup> antiporter ClcA
clcB	1665315	1666571	+	putative chloride:H<sup>+</sup> antiporter ClcB
clpA	923264	925540	+	ATP-dependent Clp protease ATP-binding subunit ClpA
clpB	2731600	2734173	-	ClpB80 // chaperone protein ClpB
clpP	456677	457300	+	ATP-dependent Clp protease proteolytic subunit
clpS	922913	923233	+	specificity factor for ClpA-ClpP chaperone-protease complex
clpX	457426	458700	+	ATP-dependent Clp protease ATP-binding subunit ClpX
clsA	1307185	1308645	-	cardiolipin synthase A
clsB	822498	823739	-	cardiolipin synthase B
clsC	1106355	1107776	+	cardiolipin synthase C
cmk	961201	961884	+	cytidylate kinase
cmoA	1952702	1953445	+	carboxy-<i>S</i>-adenosyl-L-methionine synthase
cmoB	1953442	1954413	+	tRNA U34 carboxymethyltransferase
cmoM	973537	974322	+	tRNA <b>cmo</b><sup>5</sup>U34 methyltransferase
cmtA	3077471	3078859	-	mannitol-specific PTS enzyme IICB component CmtA
cmtB	3078887	3079330	-	mannitol-specific PTS enzyme IIA component CmtB
cnoX	517425	518279	-	chaperedoxin
cnu	1704949	1705164	+	H-NS- and StpA-binding protein
